Label,Content
3,这个学生故意用胳膊肘碰了一下那支笔。“啪”，不偏不倚，笔落在了我脚边。我停下脚步，看着这个学生。他很坦然，像是无意识似的。斜着身子背对着我坐在凳子上，原来平放在桌上的胳膊立起来撑着脑袋，眼睛瞄着试卷，一只手胡乱地写着。试卷有很多空白。我又一次弯下腰，帮他把笔捡起来，放在桌上。教室已经有一些躁动了，从不同的角落不时传来“悉悉索索”的声音。我又一次出现在了这个同学身边，这次我是特意经过他身边，我想知道他会不会再次做出那样的举动。如出一辙！笔又一次掉在我脚边。“挑衅！”我的脑子里立刻跳出了这个词语。学生已经意识到发生了什么，纷纷停下笔，目光齐刷刷地注视着我。教室的空气顿时像积聚了巨大的能量一样，马上就要爆炸了。我的怒火已经燃到了头顶，不由自主地扬起了手
43,那时的矿山，有很多外来务工人员，他们租住在山上简陋的自建房中，起早贪黑地在煤矿劳作，很少有精力关心自己的孩子。粗野的责骂、严苛的鞭打是他们和孩子交流的方式。深度情感沟通的匮乏，家庭教育的缺失，使很多孩子提前进入了逆反期
19,他们纪律意识淡漠，内心孤独易冲动，厌学，潜意识里又极度渴望被关注。包容和情感是打开这些学生心灵之门的钥匙。
24,他们纪律意识淡漠，内心孤独易冲动，厌学，潜意识里又极度渴望被关注。包容和情感是打开这些学生心灵之门的钥匙。
31,后来，我了解到，当时六年级有一个小团伙，叫“十三太保”，那个学生是这个小团伙的老大，在学校横行霸道，学生都对他惧而远之，而挑衅老师则是他树立威严惯用的办法
32,后来，我了解到，当时六年级有一个小团伙，叫“十三太保”，那个学生是这个小团伙的老大，在学校横行霸道，学生都对他惧而远之，而挑衅老师则是他树立威严惯用的办法
37,那时的矿山，有很多外来务工人员，他们租住在山上简陋的自建房中，起早贪黑地在煤矿劳作，很少有精力关心自己的孩子
75,他们纪律意识淡漠，内心孤独易冲动，厌学，潜意识里又极度渴望被关注。
83,包容是允许他们犯错误，更允许他们改正错误，但包容绝不是纵容；而情感则是流淌在学生心灵中的小溪，必将持久地荡涤学生的心路旅程
31,可是，一年级开学二十天的时候，由于她的奶奶骑电动车闯红灯，与公交车相撞
32,可是，一年级开学二十天的时候，由于她的奶奶骑电动车闯红灯，与公交车相撞
35,还好，两个人都保住了性命。但是，安笑亲眼目睹了车祸，而且看到奶奶被撞得面目全非，给她的心理烙下了阴影。
14,我发现她与以前大不一样了。只要听到大一点的声音，就会颤抖一下，眼睛瞪得大大的；远远的看到车辆，就会不由自主地躲避，眼睛里充满了恐惧；同学之间，没有了以往的交流与欢笑。一个开朗的女孩，现如今总是心惊胆战的。
15,我发现她与以前大不一样了。只要听到大一点的声音，就会颤抖一下，眼睛瞪得大大的；远远的看到车辆，就会不由自主地躲避，眼睛里充满了恐惧；同学之间，没有了以往的交流与欢笑。一个开朗的女孩，现如今总是心惊胆战的。
83,营造良好的生活氛围是转变问题学生的基本保障。我了解到安笑伤好后，准备上学的情况后。及时召开班会，跟孩子们说清安笑因车祸导致的心理上的障碍。商讨同学们如何与她交流和怎样关心她的生活。在我的引导下，孩子说出了在与她交流时，不提关于车祸的话题；各方面多帮助题同学不问当时情况，多沟通交流
86,针对她以往的出色表现，我们大家决定不竞选全票通过由她担任班长。在学校发展新队员的时候，我主动和学校联系，让她代表新队员发言，我利用课余时间帮她有语气地朗读方法。大队会上，她语气激昂，得到了校领导的好评
83,实施有“爱”的教育俗话说：“没有爱，就没有教育。”我把更炽热的“爱”贯穿于对安笑的心理健康教育与辅导过程中。得知安笑出了车祸，我立刻赶到医院的急诊室。跟随着家长给孩子拍片子，拿片子，我亲自把她送到病房。临走时，我拿出六百元钱，希望能给这个家庭减轻一些负担。上学后，得知家里的人都在处理事故，我告诉家长孩子如果没有时间接，我能给他们看护好孩子，并能解决吃饭。家长感动极了。一周以后，孩子出院了。耽误了一周的课程，如果不及时补课，会追不上其他学生。正值国庆节黄金周，十月二日我约孩子到学校给她补课。孩子很优秀，学的特别的快。这些还不够，在教学过程中，我总是多观察、呵护她，让她感受到我们班级大家庭的温暖。逐渐地消除她的恐惧心理。法国作家罗曼•罗兰说过：“要播撒阳光到别人心中，总得自己心中有阳光。”我把无私的爱播撒给安笑，在她的心中一定会生根发芽的。
69,我发现她与以前大不一样了。只要听到大一点的声音，就会颤抖一下，眼睛瞪得大大的；远远的看到车辆，就会不由自主地躲避，眼睛里充满了恐惧；同学之间，没有了以往的交流与欢笑。一个开朗的女孩，现如今总是心惊胆战的。车祸之后，压抑在心底那看不见的伤痛会延续很长时间，抚平她心灵上的创伤尤为重要
11,上午最后一节课上，我发给第一排就座的Sam一份试题。“老师，我没笔。”“你就一支笔吗？”我瞪着他。他却仰着小脑袋，眨着眼睛说：“我就带了一支。”我捏捏他的笔袋，空空如也。我还没来得及发火，就听到他说：“那我借一支吧。”我松了口气，怎么这么一个不会管理自己的孩子，多少次了，不长记性啊……突然，Tom的声音响起：“老师，Sam总是咬我的笔。”又是Sam的事儿。平时这个孩子就是玩笔、咬笔，Tom不乐意了。我反问他：“你不愿意借给他，是吗？”“哦”，说着，便起身夺回了自己的笔。这时，Sam愣住了。“正好借此机会教育教育他”，我心中暗喜，对着全班同学说：“谁愿意借给Sam一支笔呢？”Mike举起了手。“Mike，如果Sam咬你的笔，你还借给他吗？”“不愿意啦”，马上把笔放回了笔袋。多么真实的天性啊！Sam的脸色难看极了，我盯着他问：“Sam，你看，这个缺点怎么办呢？能不能改改？”他闷闷地回答：“能！”我想：让你这个家伙尴尬一下，治治你的毛病，今后也要学会团结同学，不再欺负别人
32,他是男孩
31,现在是一个四年级新生